,Car_name,mileage,dealer_name,Service_ratings,Service_reviews,consumer_ratings,consumer_reviews,price,Ext_color,Int_color,drive_train,fuel_type,transmission,engine
126,2021 Mercedes-Benz GLC 300 Base 4MATIC,"10,450 mi.",Mercedes-Benz of St. Charles,4.8,(562 reviews),4.7,(16 reviews),"$48,483", White , Silk Beige / Black , All-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
127,2021 Mercedes-Benz GLB 250 Base,"18,685 mi.",Mercedes-Benz of West Houston,3.7,(31 reviews),4.4,(10 reviews),"$40,491", Midnight Black , Macchiato Beige , Front-wheel Drive ,Gasoline ,8-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo
128,2021 Mercedes-Benz GLA 250 Base,"12,929 mi.",Mercedes-Benz of South Orlando,4.7,"(1,241 reviews)",4.9,(19 reviews),"$49,007", Denim , Macchiato Beige , Front-wheel Drive ,Gasoline ,8-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo
129,2018 Mercedes-Benz C-Class C 300,"44,966 mi.",Mercedes-Benz of Austin,4.8,"(1,252 reviews)",4.8,(66 reviews),"$32,499", Black , Black , Rear-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
130,2020 Mercedes-Benz GLE 350 Base 4MATIC,"28,213 mi.",Mercedes-Benz of Calabasas,4.6,(905 reviews),4.3,(75 reviews),"$53,698", Gray , Beige , All-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
131,2021 Mercedes-Benz C-Class C 300 4MATIC,"11,451 mi.",Mercedes-Benz of Westwood,4.5,(426 reviews),5.0,(4 reviews),"$43,721", Black , Black , All-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
132,2019 Mercedes-Benz GLC 300 Base 4MATIC,"14,806 mi.",Euro Motorcars Inc,4.6,(587 reviews),4.6,(72 reviews),"$43,881", Black , Black , All-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
133,2019 Mercedes-Benz C-Class C 300 4MATIC,"33,393 mi.",Mercedes-Benz of Warwick,4.6,(262 reviews),4.8,(40 reviews),"$34,495", Polar White , Black , All-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
134,2018 Mercedes-Benz GLS 450 Base 4MATIC,"44,249 mi.",Mercedes-Benz of Stevens Creek,4.7,"(1,669 reviews)",4.8,(13 reviews),"$48,920", Polar White , – , All-wheel Drive ,Gasoline ,9-Speed Automatic,3.0L V6 24V GDI DOHC Twin Turbo
135,2019 Mercedes-Benz GLA 250 Base 4MATIC,"20,017 mi.",Fletcher Jones Motorcars of Fremont,4.9,"(1,181 reviews)",4.6,(33 reviews),"$34,351", Polar White , Black , All-wheel Drive ,E85 Flex Fuel ,7-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo Flexible Fuel
136,2019 Mercedes-Benz GLA 250 Base 4MATIC,"15,682 mi.",Mercedes-Benz of Stevens Creek,4.7,"(1,669 reviews)",4.6,(33 reviews),"$33,730", Polar White , – , All-wheel Drive ,E85 Flex Fuel ,7-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo Flexible Fuel
137,2019 Mercedes-Benz AMG GT 63 4-Door,"14,515 mi.",Mercedes-Benz of Pembroke Pines,4.6,"(1,127 reviews)",4.8,(4 reviews),"$131,490", Graphite Gray Metallic , – , All-wheel Drive ,Gasoline ,9-Speed Automatic,4.0L V8 32V GDI DOHC Twin Turbo
138,2021 Mercedes-Benz GLC 300 Base 4MATIC,"13,669 mi.",Mercedes-Benz of Beaverton,4.5,"(2,357 reviews)",4.7,(16 reviews),"$49,464", Polar White , Silk Beige / Black , All-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
