,Car_name,mileage,dealer_name,Service_ratings,Service_reviews,consumer_ratings,consumer_reviews,price,Ext_color,Int_color,drive_train,fuel_type,transmission,engine
62,2020 Mercedes-Benz GLC 300 Base,21675,Mercedes-Benz of McKinney,4.4,320,4.8,35,45698, Iridium Silver Metallic , Gray , Rear-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
63,2021 Mercedes-Benz GLB 250 Base,23314,Mercedes-Benz of West Houston,3.7,31,4.5,9,40990, Midnight Black , Black , Front-wheel Drive ,Gasoline ,8-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo
64,2019 Mercedes-Benz GLC 300 Base 4MATIC,24822,Mercedes-Benz of Edison,4.9,3008,4.6,72,39995, Gray Metallic , Black , All-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
65,2021 Mercedes-Benz GLC 300 Base,17151,Mercedes-Benz of Calabasas,4.6,902,4.7,16,42498, Gray , Red , Rear-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
66,2019 Mercedes-Benz GLA 250 Base 4MATIC,34086,Mercedes-Benz of Denver,4.5,379,4.6,33,32998, Black , Black , All-wheel Drive ,E85 Flex Fuel ,7-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo Flexible Fuel
67,2021 Mercedes-Benz GLC 300 Base 4MATIC,23095,Mercedes-Benz of North Orlando,4.6,494,4.7,16,48762, Graphite Gray Metallic , – , All-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
68,2019 Mercedes-Benz E-Class E 300,24822,Mercedes-Benz of Tysons Corner,4.5,842,4.7,47,45884, Black , Macchiato Beige , All-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
69,2018 Mercedes-Benz GLE 350 Base,32919,Mercedes-Benz of Fort Lauderdale,4.6,997,4.7,51,39492, Black , – , Rear-wheel Drive ,Gasoline ,7-Speed Automatic,3.5L V6 24V GDI DOHC
70,2020 Mercedes-Benz C-Class C 300,15455,Mercedes-Benz of Arcadia,4.8,1109,4.5,13,51665, Black , Cranberry Red , Rear-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
71,2021 Mercedes-Benz C-Class C 300,18926,Mercedes-Benz of Buckhead,4.6,922,5.0,4,44000, Gray , Black , Rear-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
72,2019 Mercedes-Benz C-Class C 300 4MATIC,32895,Mercedes-Benz of Tysons Corner,4.5,842,4.8,40,34884, Steel Gray , Silk , All-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
73,2021 Mercedes-Benz GLB 250 Base 4MATIC,24722,Mercedes-Benz of Lehigh Valley,4.6,183,4.5,9,42000, Midnight Black , – , All-wheel Drive ,Gasoline ,8-Speed Automatic with Auto-Shift,2.0L I4 16V GDI DOHC Turbo
74,2021 Mercedes-Benz E-Class E 350,18959,Mercedes-Benz of Stevens Creek,4.7,1659,4.7,7,50999, Graphite Gray Metallic , – , Rear-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
75,2022 Mercedes-Benz GLC 300 Base 4MATIC,1897,Mercedes-Benz of Chantilly,4.6,905,3.9,1,49800, Black , Black , All-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
76,2022 Mercedes-Benz GLC 300 Base 4MATIC,2865,Mercedes-Benz of Chantilly,4.6,905,3.9,1,49600, Black , Black , All-wheel Drive ,Gasoline ,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo
